docid	author	authordate	title	latestcomp	hathidate	imprint	gutenstring	enumcron	gbindex	nonficprob	juvenileprob	LOCgenres	LOCsubjects	contents	instances	genre	audience	authgender	multiplehtids	comments	coder	Folder	Trimmed
mdp.39015020115252	Dennistoun, James,		Memoirs of the Dukes of Urbino, illustrating the arms, arts, and literature of Italy, from 1440 to 1630	1851		London;Longman, Brown, Green	Dennistoun, James | Memoirs of the Dukes of Urbino, Volume II (of 3)	v.2	44235							bio | short		m		"memoirs"" seems incorrect -- written more like history?  uc2.ark+=13960=t48p5xg13 Abbott, John S. C. 1875 Boston;B.B. Russell;1875. m <blank> Miles Standish 57067 bio Abbott, John S. C. | Miles Standish    nyp.33433082384615 Robinson, Corinne Roosevelt, 1921 New York;C. Scribner's sons; f <blank> My brother, Theodore Roosevelt 51831 bio Robinson, Corinne Roosevelt | My Brother Theodore Roosevelt    mdp.39015002682188 Robinson, Corinne Roosevelt, 1921 New York;C. Scribner's sons; f <blank> My brother, Theodore Roosevelt 51831 bio Robinson, Corinne Roosevelt | My Brother Theodore Roosevelt    loc.ark+=13960=t7cr66x2j Root, Jean Christie. 1915 New York;The Macmillan Compa f <blank> Nathan Hale 31650 bio Root, Jean Christie | Nathan Hale    mdp.39015010851957 Tyler, Moses Coit, 1887 Boston;New York;Houghton, Mi u <blank> Patrick Henry 29368 bio Tyler, Moses Coit | Patrick Henry    nc01.ark+=13960=t7qn6nd09 Miller, Harriet Parks. 1911 Clarksville, Tenn.;W.P. Titu f <blank> Pioneer Colored Christians 58541 no Miller, Harriet Parks | Pioneer Colored Christians   collective, not one person by chapter :( uc2.ark+=13960=t8qb9w53t Woolfall, Lila Graham Alliger, 1903 Washington;Bureau of Nationa f <blank> Presiding ladies of the White House 55679 bio | short Woolfall, Lila Graham Alliger | Presiding Ladies of the White House    mdp.39015017645998 Beesly, Edward Spencer, 1918 London;Macmillan and co., li m <blank> Queen Elizabeth 50982 bio Beesly, Edward Spencer | Queen Elizabeth    loc.ark+=13960=t61558f2g Strachey, Lytton, 1921 New York;Harcourt, Brace and u <blank> Queen Victoria 37153 bio Strachey, Lytton | Queen Victoria    njp.32101068583002 Howe, Julia Ward, 1900 Boston;New York;Houghton, Mi f <blank> Reminiscences, 1819-1899 32603 bio Howe, Julia Ward | Reminiscences, 1819-1899    uc1.32106002071998 Howe, Julia Ward, 1899 Boston;New York;Houghton, Mi f <blank> Reminiscences, 1819-1899 32603 bio Howe, Julia Ward | Reminiscences, 1819-1899    nyp.33433075880058 Abbott, Jacob, 1901 New York;London;Harper & bro u <blank> Richard I 28433 bio Abbott, Jacob | Richard I    inu.32000009750698 Abbott, Jacob, 1900 New York;and London;Harper & u <blank> Richard II 28433 bio Abbott, Jacob | Richard II    nyp.33433075881148 Abbott, Jacob, 1901 New York;London;Harper & bro u <blank> Richard III 28561 bio Abbott, Jacob | Richard III    bc.ark+=13960=t7pp0215h Sutcliffe, Alice Crary. 1915 New York;The Macmillan compa f <blank> Robert Fulton 57742 bio Sutcliffe, Alice Crary | Robert Fulton    uc2.ark+=13960=t7dr2sz0v Poole, Reginald Lane, 1882 London;S. Low, Marston & com m <blank> Sebastian Bach 46076 bio Poole, Reginald Lane | Sebastian Bach    loc.ark+=13960=t45q5td8r Gray, Thomas, 1904 New York;Cincinnati [etc.;Am m <blank> Select poems of Thomas Gray 30357 no Gray, Thomas | Select Poems of Thomas Gray    mdp.39015041859979 Phillimore, Lucy. 1883 London;Kegan Paul, Trench, & f <blank> Sir Christopher Wren 42007 bio Phillimore, Lucy | Sir Christopher Wren    nyp.33433082408521 Malcolm, John, 1845 London;J. Murray;1845. m <blank> Sketches of Persia 52189 bio Malcolm, John | Sketches of Persia   descriptions of travel, seems fictionalized uc1.b3757169 Wagnalls, Mabel, 1906 New York;London;Funk & Wagna f <blank> Stars of the opera 38153 no Wagnalls, Mabel | Stars of the Opera    uc2.ark+=13960=t9g44kn21 Terhune, Albert Payson, 1916 Cleveland, O.;International m <blank> Superwomen 39339 fic Terhune, Albert Payson | Superwomen    uc2.ark+=13960=t47p95x5z Innes, Arthur D. 1906 London;E. Nash;1906. m <blank> Ten Tudor statesmen 48057 bio | short Innes, Arthur D. | Ten Tudor Statesmen    wu.89092567635 Innes, Arthur D. 1906 London;E. Nash;1906. m <blank> Ten Tudor statesmen 48057 bio | short Innes, Arthur D. | Ten Tudor Statesmen    mdp.39015008263629 Goethe, Johann Wolfgang von, 1849 New York [etc.;J. Wiley;1849 u v.2 The auto-biography of Goethe 52654 bio Goethe, Johan Wolfgang von | The Autobiography of Goethe    uc1.32106006431834 Goethe, Johann Wolfgang von, 1872 London;Bell & Daldy;1872. u v.1 The autobiography of Goethe 52654 bio Goethe, Johan Wolfgang von | The Autobiography of Goethe    wu.89087923264 Barbour, John, 1909 London;Adam and Charle Black m <blank> The Bruce 44292 no Barbour, John | The Bruce    uc2.ark+=13960=t4nk37h5t Barbour, John, 1790 London;Printed by H. Hughs f m v.1 The Bruce; 44292 no Barbour, John | The Bruce    mdp.39015057056056 Barbour, John, 1790 London;Printed by H. Hughs f m v.2 The Bruce; 44292 no Barbour, John | The Bruce    mdp.39015011272898 Barbour, John, 1894 Edinburgh;London;Printed for m v.25 1894 The Bruce; 44292 no Barbour, John | The Bruce    uc2.ark+=13960=t0xp6v072 Sears, Joseph Hamblen, 1919 New York;London;D. Appleton m <blank> The career of Leonard Wood 33626 bio Sears, Joseph Hamblen | The Career of Leonard Wood    uc2.ark+=13960=t49p2wj27 Longfellow, Henry Wadsworth, 1909 New York;Boston;H. M. Caldwe m <blank> The courtship of Miles Standish 57417 fic | historical  Longfellow, Henry Wadsworth | The Courtship of Miles Standish   narrative poem -- form issue? loc.ark+=13960=t39z9qv68 Longfellow, Henry Wadsworth, 1883 Boston;New York;Houghton, Mi m <blank> The courtship of Miles Standish 57417 fic | historical  Longfellow, Henry Wadsworth | The Courtship of Miles Standish    mdp.39015063627478 Hume, Martin Andrew Sharp, 1898 London;T.F. Unwin;1898. m <blank> The courtships of Queen Elizabeth; 53559 bio Hume, Martin Andrew Sharp | The Courtships of Queen Elizabeth   themed bio uc2.ark+=13960=t5j969x3s Froude, James Anthony, 1914 London;J. M. Dent & sons, lt m <blank> The Earl of Beaconsfield 48436 bio Froude, James Anthony | The Earl of Beaconsfield    mdp.39015030855079 Froude, James Anthony, 1914 London;J. M. Dent & sons, lt m <blank> The Earl of Beaconsfield 48436 bio Froude, James Anthony | The Earl of Beaconsfield    loc.ark+=13960=t32231k9f Tarbell, Ida M. 1896 New York;S. S. McClure;1896. f <blank> The early life of Abraham Lincoln 57555 bio Tarbell, Ida M. | The early life of Abraham Lincoln    loc.ark+=13960=t40r9wk27 Tarbell, Ida M. 1896 New York;S. S. McClure;1896. f <blank> The early life of Abraham Lincoln 57555 bio Tarbell, Ida M. | The early life of Abraham Lincoln    uc2.ark+=13960=t3tt4ns20 Mitre, Bartolomé, 1893 London;Chapman & Hall, ltd.; u <blank> The emancipation of South America 48856 bio Mitre, Bartolomé | The Emancipation of South America   heavy amoount of history  loc.ark+=13960=t1hh71v9h Bierce, Ambrose, 1922 San Francisco;The Book club m <blank> The letters of Ambrose Bierce 36218 no Bierce, Ambrose | The Letters of Ambrose Bierce    uc2.ark+=13960=t2j679x4s Bierce, Ambrose, 1922 San Francisco;The Book club m <blank> The letters of Ambrose Bierce 36218 no Bierce, Ambrose | The Letters of Ambrose Bierce    uc1.b4437288 Adams, Henry, 1879 Philadelphia;London;J.B. Lip m <blank> The life of Albert Gallatin 45654 bio Adams, Henry | The Life of Albert Gallatin    uc2.ark+=13960=t9v11wf9p Adams, Henry, 1879 Philadelphia;London;J. B. Li m <blank> The life of Albert Gallatin 45654 bio Adams, Henry | The Life of Albert Gallatin    njp.32101068982394 Halévy, Daniel, 1911 London;T.F. Unwin;1911 m <blank> The life of Friedrich Nietzsche 53620 bio Halévy, Daniel | The life of Friedrich Nietzsche    nyp.33433049255593 Pollard, Josephine, 1899 New York;McLoughlin Brothers f <blank> The life of George Washington 36183 bio Pollard, Josephine | The Life of George Washington    mdp.39015067966971 Stevens, Hazard, 1900 Boston;New York;Houghton, Mi u v.2 The life of Isaac Ingalls Stevens 43590 bio Stevens, Hazard | The Life of Isaac Ingalls Stevens, Volume II (of 2)    uc1.b4016343 Stevens, Hazard, 1900 Boston;New York;Houghton, Mi u v.1 The life of Isaac Ingalls Stevens 43589 bio Stevens, Hazard | The Life of Isaac Ingalls Stevens, Volume I (of 2)    nyp.33433082332986 Alfriend, Frank H. 1868 Cincinnati;Caxton Publishing m <blank> The life of Jefferson Davis 43329 bio Alfriend, Frank H. | The Life of Jefferson Davis    uc1.b61802 Alfriend, Frank H 1868 Cincinnati;Caxton Publishing m <blank> The life of Jefferson Davis 43329 bio Alfriend, Frank H. | The Life of Jefferson Davis    uc2.ark+=13960=fk40r9mf10 White, Horace, 1913 Boston;New York;Houghton Mif m <blank> The life of Lyman Trumbull 38043 bio White, Horace | The Life of Lyman Trumbull    uc2.ark+=13960=t36111210 King, Bolton, 1911 London;J. M. Dent & sons, lt u <blank> The life of Mazzini 41207 bio King, Bolton | The Life of Mazzini    mdp.39015011037481 Trevelyan, Janet Penrose, 1923 New York|Dodd, Mead and comp f nan The life of Mrs. Humphry Ward, 40319 bio Trevelyan, Janet Penrose | The Life of Mrs. Humphry Ward    mdp.39015026765084 Sloane, William Milligan, 1901 New York;The Century Co.;190 m v.3 The life of Napoleon Bonaparte 27289 bio Sloane, William Milligan | The Life of Napoleon Bonaparte, Vol. III    uc2.ark+=13960=t9f47m78s Morley, John, 1903 London;Macmillan and co., li m v.1 The life of William Ewart Gladstone 21091 bio Morley, John | The Life of William Ewart Gladstone, Vol. 1 (of 3)    umn.319510017051196 Morley, John, 1903 London;Macmillan and co., li m v.3 The life of William Ewart Gladstone 31711 bio Morley, John | The Life of William Ewart Gladstone, Vol. 3 (of 3)    uc1.b3318308 Morley, John, 1911 New York;The Macmillan compa m v. 1 The life of William Ewart Gladstone 21091 bio Morley, John | The Life of William Ewart Gladstone, Vol. 1 (of 3)    nyp.33433082369277 Morley, John, 1903 New York;The Macmillan compa m v. 2 The life of William Ewart Gladstone 32510 bio Morley, John | The Life of William Ewart Gladstone, Vol. 2 (of 3)    uc1.b3318309 Morley, John, 1911 New York;The Macmillan compa m v. 2 The life of William Ewart Gladstone 32510 bio Morley, John | The Life of William Ewart Gladstone, Vol. 2 (of 3)    uc1.b3322126 MacDonald, Daniel J., 1912 Washington, D.C.;1912. m <blank> The radicalism of Shelley and its sources 35495 no MacDonald, Daniel J. | The Radicalism of Shelley and Its Sources   not life events? relationship to radicalism/works mdp.39015013440071 Tocqueville, Alexis de, 1896 New York;The Macmillan co.;1 u <blank> The recollections of Alexis de Tocqueville; 37892 bio Tocqueville, Alexis De | The Recollections of Alexis de Tocqueville    uc2.ark+=13960=t79s1rk11 Dawson, Alec John, 1914 London;Constable;1914. m <blank> The record of Nicholas Freydon; 30704 fic Dawson, Alec John | The Record of Nicholas Freydon    uc1.b4055646 Lytton, Henry A., 1922 London;Jarrolds, ltd.;1922 m <blank> The secrets of a Savoyard 39392 bio Lytton, Henry A. | The Secrets of a Savoyard    nc01.ark+=13960=t56d6z31v Johnston, David E. 1914 Portland, Or.;Glass & Prudho m <blank> The story of a Confederate boy in the Civil War 44889 bio Johnston, David E. | The Story of a Confederate boy in the Civil War    uc1.b282145 Fisher, Sydney George, 1899 Philadelphia;J.B. Lippincott m <blank> The true Benjamin Franklin 34193 bio Fisher, Sydney George | The True Benjamin Franklin    uc2.ark+=13960=fk2k649z2t Fisher, Sydney George, 1899 Philadelphia;J.B. Lippincott m <blank> The true Benjamin Franklin 34193 bio Fisher, Sydney George | The True Benjamin Franklin    loc.ark+=13960=t54f25r12 Fisher, Sydney George, 1903 Philadelphia;J. B. Lippincot m <blank> The true Benjamin Franklin 34193 bio Fisher, Sydney George | The True Benjamin Franklin    nyp.33433045233107 Fisher, Sydney George, 1898 Philadelphia;J.B. Lippincott m <blank> The true Benjamin Franklin 34193 bio Fisher, Sydney George | The True Benjamin Franklin    loc.ark+=13960=t9571rf8d Hough, Emerson, 1903 Indianapolis;The Bobbs-Merri m <blank> The way to the West 45143 no Hough, Emerson | The Way to the West   not grouped by person (thematic) mdp.39015074634497 Marlowe, Christopher, 1826 London;W. Pickering [etc., e m <blank> The works of Christopher Marlowe 42724 no Marlowe, Christopher | The Works of Christopher Marlowe, Vol. 2 (of 3)    uc2.ark+=13960=t0js9wd26 Stevenson, Robert Louis, 1906 New York;Davos press;1906 m v.10 The works of Robert Louis Stevenson; 30393 no Stevenson, Robert Louis | The Works of Robert Louis Stevenson    uva.x000181171 Stevenson, Robert Louis, 1906 New York;Davos press;1906 m V.2 The works of Robert Louis Stevenson; 30393 no Stevenson, Robert Louis | The Works of Robert Louis Stevenson    mdp.39015009061345 Stevenson, Robert Louis, 1906 New York;Davos press;1906 m v.2 The works of Robert Louis Stevenson; 30393 no Stevenson, Robert Louis | The Works of Robert Louis Stevenson    mdp.39015048900099 Stevenson, Robert Louis, 1906 New York;Davos press;1906 m v.8 The works of Robert Louis Stevenson; 30393 no Stevenson, Robert Louis | The Works of Robert Louis Stevenson    mdp.39015048900081 Stevenson, Robert Louis, 1906 New York;Davos press;1906 m v.9 The works of Robert Louis Stevenson; 30393 no Stevenson, Robert Louis | The Works of Robert Louis Stevenson    uc2.ark+=13960=t7sn0dv9x Stevenson, Robert Louis, 1906 New York;Davos press;1906 m v.04 The works of Robert Louis Stevenson; 30393 no Stevenson, Robert Louis | The Works of Robert Louis Stevenson    yale.39002006374947 Jefferson, Thomas, 1853 Washington;Taylor & Maury;18 m v.6 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    uva.x001171788 Jefferson, Thomas, 1903 Washington, D.C.;Issued unde m v.19 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    wu.89067885970 Jefferson, Thomas, 1853 Washington;Taylor & Maury;18 m v.1 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    wu.89067885970 Jefferson, Thomas, 1853 Washington;Taylor & Maury;18 m v.1 The writings of Thomas Jefferson 45847 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    yale.39002006374954 Jefferson, Thomas, 1853 Washington;Taylor & Maury;18 m v.5 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    wu.89100047893 Jefferson, Thomas, 1859 Washington;New York;H. W. De m v.5 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    wu.89054133970 Jefferson, Thomas, 1859 Washington;New York;H. W. De m v.1 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    uc1.b3488061 Jefferson, Thomas, 1905 Washington, D.C.;Issued unde m v.5-6 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    mdp.39015011262402 Jefferson, Thomas, 1853 Washington;Taylor & Maury;18 m v.19 1907 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    uva.x002078743 Jefferson, Thomas, 1903 Washington, D.C.;Issued unde m v.8 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    mdp.39015032022033 Jefferson, Thomas, 1853 Washington;Taylor & Maury;18 m v.1 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    mdp.39015027016412 Jefferson, Thomas, 1859 Washington;New York;H. W. De m v.2 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    uva.x000275544 Jefferson, Thomas, 1903 Washington, D.C.;Issued unde m v.10 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    mdp.39015032021977 Jefferson, Thomas, 1853 Washington;Taylor & Maury;18 m v.2 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    mdp.39015027016461 Jefferson, Thomas, 1859 Washington;New York;H. W. De m v.8 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    uva.x002221166 Jefferson, Thomas, 1903 Washington, D.C.;Issued unde m v.5 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    uva.x001177957 Jefferson, Thomas, 1904 Washington, D.C.;Issued unde m v.14 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    wu.89054127782 Jefferson, Thomas, 1859 Washington;New York;H. W. De m v.7 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    uc1.b2985856 Jefferson, Thomas, 1853 Washington;Taylor & Maury;18 m v.3 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    pst.000003038741 Jefferson, Thomas, 1905 Washington, D.C.;Issued unde m v.7-8 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    yale.39002004940293 Jefferson, Thomas, 1853 Washington;Taylor & Maury;18 m v.9 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    mdp.39015042007933 Jefferson, Thomas, 1907 Washington, D.C.;Issued unde m v.19-20 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    uc1.b2985855 Jefferson, Thomas, 1853 Washington;Taylor & Maury;18 m v.2 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    uc1.b2985858 Jefferson, Thomas, 1853 Washington;Taylor & Maury;18 m v.5 The writings of Thomas Jefferson 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    uva.x000619993 Jefferson, Thomas, 1853 Washington.;Taylor & Maury.; m v.5 The writings of Thomas Jefferson: being his autobiography, correspondence, reports, messages, addresses, and other writings, official and private 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    uva.x001423201 Jefferson, Thomas, 1869 Philadelphia.;J. B. Lippinco m v.8 The writings of Thomas Jefferson: being his autobiography, correspondence, reports, messages, addresses, and other writings, official and private 50046 no Jefferson, Thomas | The Writings of Thomas Jefferson, Volume 2 of 9    uc1.b3576158 Hadden, J. Cuthbert 1899 Edinburgh;London;Oliphant, A u <blank> Thomas Campbell 53898 bio Hadden, J. Cuthbert | Thomas Campbell    mdp.39015028310368 Roosevelt, Theodore, 1889 Boston;Houghton, Mifflin;188 m <blank> Thomas Hart Benton 37656 bio Roosevelt, Theodore | Thomas Hart Benton    mdp.39015000363229 Otway, Thomas, 1903 London;T. F. Unwin: New York m <blank> Thomas Otway 46605 no Otway, Thomas | Thomas Otway   plays mdp.39015027812570 Fulton, Frances I. Sims. 1884 Lincoln, Neb.;Journal compan f <blank> To and through Nebraska 44688 bio Fulton, Frances I. Sims | To and Through Nebraska   descriptions of travel uc2.ark+=13960=t85h7ff9x Garnett, Edward, 1917 London [etc.;W. Collins sons m <blank> Turgenev; 56809 bio Garnett, Edward | Turgenev    nyp.33433082344668 Plumb, Albert Hale, 1920 Boston;R.G. Badger;c1920 m <blank> William Bradford of Plymouth 33776 bio Plumb, Albert Hale | William Bradford of Plymouth    wu.89097316079 Smith, Edward, 1879 London;S. Low, Marston, Sear m v.2 William Cobbett 49845 bio Smith, Edward | William Cobbett    umn.31951001954673d Newbranch, Harvey Ellsworth. 1900 Lincoln, Neb.;The University m <blank> William Jennings Bryan; 53191 bio Newbranch, Harvey Ellsworth | William Jennings Bryan    mdp.39015053596824 Cary, Elisabeth Luther, 1902 New York;London;G. P. Putnam f <blank> William Morris 39725 bio Cary, Elizabeth Luther | William Morris    uc1.b116684 Hugo, Victor, 1864 Paris;Librairie internationa u <blank> William Shakespeare 53490 no Hugo, Victor | William Shakespeare   interesting uc1.b3741724 Sharp, Elizabeth A. 1912 New York;Duffield & company; f v.1 William Sharp (Fiona Macleod) 47344 bio Sharp, Elizabeth A. | William Sharp (Fiona Macleod)    uc1.b3741725 Sharp, Elizabeth A. 1912 New York;Duffield & company; f v.2 William Sharp (Fiona Macleod) 47344 bio Sharp, Elizabeth A. | William Sharp (Fiona Macleod)    "	morgan	gutenbiotrimmed	Trimmed
loc.ark+=13960=t72v30m24	Stowe, Harriet Beecher,		Lady Byron vindicated	1870		Boston;Fields, Osgood, & co.	Stowe, Harriet Beecher | Lady Byron Vindicated	<blank>	44791							bio		f		unusual form: quotes from attacks on her	morgan	gutenbiotrimmed	Trimmed
nyp.33433082405691	Haldane, Elizabeth Sanderson,		James Frederick Ferrier	1899		Edinburgh;London;Oliphant, A	Haldane, Elizabeth Sanderson | James Frederick Ferrier	<blank>	44949							bio		f			morgan	gutenbiotrimmed	Trimmed
njp.32101074887876	Smith, Lucy,		History of the Prophet Joseph	1902		Salt Lake City;Improvement E	Smith, Lucy | History of the Prophet Joseph by His Mother	<blank>	45619							bio		f			morgan	gutenbiotrimmed	Trimmed
uc2.ark+=13960=t7qn60z0m	Torrey, Bradford	1843-1912.	Spring notes from Tennessee	1896	1896	Boston;New York;Houghton, Mi	Torrey, Bradford | Spring notes from Tennessee		45708	0.968723625	0.131960622		Tennessee|Description and travel|Natural history|Outdoor books		3	bio		m			wenyi	gutenbiotrimmed	Trimmed
uc1.b3420990	Daniels, Mabel W.		An American girl in Munich	1905		Boston;Little, Brown;1905.	Daniels, Mabel W. | An American Girl in Munich	<blank>	46102							bio		f			morgan	gutenbiotrimmed	Trimmed
uc2.ark+=13960=t3cz35s44	Morlae, Edward		A soldier of the Legion	1916	1916	Boston;New York;Houghton Mif	Morlae, Edward | A Soldier of the Legion		46651	0.580945977	0.304885863		France|L????gion ????trang????re|Arm????e|World War, 1914-1918|Personal narratives		4	bio		m			wenyi	gutenbiotrimmed	Trimmed
njp.32101066164219	Grimaldi, Joseph,		Memoirs of Joseph Grimaldi	1846		London;R. Bentley;1846.	Grimaldi, Joseph | Memoirs of Joseph Grimaldi	<blank>	46709							bio		m			morgan	gutenbiotrimmed	Trimmed
umn.31951000912730x	Tappan, Eva March	1854-1930.	In the days of Queen Elizabeth	1902	1902	Boston;Lee and Shepard;1902.	Tappan, Eva March | In the Days of Queen Elizabeth		47006	0.69208635	0.656335094				1	bio		f			morgan	gutenbiotrimmed	Trimmed
uc2.ark+=13960=t6542ns47	Tyndall, John,		Hours of exercise in the Alps	1883		New York;D. Appleton;1883.	Tyndall, John | Hours of Exercise in the Alps	<blank>	47209							bio		m			wenyi	gutenbiotrimmed	Trimmed
wu.89099962904	Gilchrist, Anne Burrows,		Mary Lamb	1883		Boston;Roberts Brothers;1884	Gilchrist, Anne Burrows | Mary Lamb	<blank>	47643							bio		f			morgan	gutenbiotrimmed	Trimmed
nc01.ark+=13960=t57d36c20	Reynolds, Robert Rice		Wanderlust	1913	1913	New York;Broadway Publishing	Reynolds, Robert Rice | Wanderlust		47750	0.955980463	0.048861254		1882-1947|Gardner, Oliver Max|Reynolds, Robert Rice|1884-1963		1	bio		m			morgan	gutenbiotrimmed	Trimmed
uc2.ark+=13960=t4vh5ct01	Saxton, Evelyn		Droll stories of Isthmian life	1914	1914	s.l.;s.n.;1914;(New Orleans;	Saxton, Evelyn | Droll stories of Isthmian life		47896	0.2977588	0.010477862		Panama|Social life and customs		2	bio		f			wenyi	gutenbiotrimmed	Trimmed
yale.39002004679487	Reed, John	1887-1920.	Insurgent Mexico	1914	1914	New York;London;D. Appleton	Reed, John | Insurgent Mexico		48108	0.665062111	0.039582161		1910-1946|Revolution, 1910-1920|History	On the border.--Desert war.--Francisco Villa.--Jiminez and points west.--A people in arms.--Carranza, an impression.--Mexican nights.	1	bio		m			wenyi	gutenbiotrimmed	Trimmed
loc.ark+=13960=t40s0k93b	Loria, Achille,		Karl Marx	1920		London;G. Allen & Unwin ltd.	Loria, Achille | Karl Marx	<blank>	48446							bio		u			wenyi	gutenbiotrimmed	Trimmed
uiuo.ark+=13960=t10p0zd5b	Perryman, F. M		Pioneer life in Illinois	1907	1907	Pana, Ill.;Kerr's Printing H	Perryman, F. M. | Pioneer Life in Illinois		48637	0.314759887	0.684344501		Illinois|Shelby County (Ill.)|Social life and customs|Frontier and pioneer life		1	bio		m			morgan	gutenbiotrimmed	Trimmed
uc1.b4102292	Harland, Marion,		Marion Harland's autobiography;	1910		New York;London;Harper & bro	Harland, Marion | Marion Harland's Autobiography	<blank>	49003							bio		u			wenyi	gutenbiotrimmed	Trimmed
wu.89075700179	Smiles, Samuel,		Life of a Scotch naturalist	1877		London;J. Murray;1877.	Smiles, Samuel | Life of a Scotch Naturalist	<blank>	49154							bio		m			morgan	gutenbiotrimmed	Trimmed
uc2.ark+=13960=t27942z7w	Jenkins, Hester Donaldson,		Ibrahim Pasha	1911		New York;Columbia University	Jenkins, Hester Donaldson | Ibrahim Pasha	<blank>	51299							bio		f			morgan	gutenbiotrimmed	Trimmed
mdp.39015002379769	Kemble, Fanny,		Journal of a residence in America	1835		Paris;A. and W. Galignani an	Kemble, Fanny | Journal of a Residence in America	<blank>	51932							bio		f			morgan	gutenbiotrimmed	Trimmed
pst.000003877401	Stone, William L.		Life of Joseph Brant--Thayendanegea	1838		New York;G. Dearborn and Co.	Stone, William L. | Life of Joseph Brant--Thayendanegea, Vol. 1	v. 1	52072							bio		m			morgan	gutenbiotrimmed	Trimmed
uc2.ark+=13960=t3mw2bn0k	Bernard, Frédéric		Wonderful escapes	1871	1871	New York;C. Scribner & co.;1	Bernard, Frédéric | Wonderful Escapes		52304	0.628115128	0.330887049		Escapes		1	bio|short		m			morgan	gutenbiotrimmed	Trimmed
uc2.ark+=13960=t6zw1jh57	Giberne, Agnes	1845-1939.	A lady of England	1895	1895	New York;A. C. Armstrong & s	Giberne, Agnes | A Lady of England		54218	0.875614839	0.394817901		Bibliography|A. L. O. E|1821-1893|Children's literature		1	bio		f			ted	gutenbiotrimmed	Trimmed
uc2.ark+=13960=t58d0127g	Gaunt, Mary	1861-1942.	Alone in West Africa	1912	1912	London;T. W. Laurie;1912	Gaunt, Mary | Alone in West Africa		54400	0.810111489	0.013899867		Africa, West|Description and travel		1	bio|autobiography		f			peizhen	gutenbiotrimmed	Trimmed
umn.319510019644103	Stratton, Royal B	d. 1875.	Captivity of the Oatman girls:	1858	1858	New-York;Pub. for the author	Stratton, Royal B. | Captivity of the Oatman Girls		55071	0.573774945	0.381860934		Oatman family|Indian captivities		1	bio		m			peizhen	gutenbiotrimmed	Trimmed
uc2.ark+=13960=t8kd1td22	Ruxton, George Frederick Augustus	1820-1848.	Life in the Far West	1848	1851	Glorieta, N.M.|Rio Grande Pr	Ruxton, George Frederick Augustus | Life in the Far West		55093	0.806051667	0.010574389		To 1848|History		1	bio		m			wenyi	gutenbiotrimmed	Trimmed
nyp.33433082399167	Colmache, Édouard		Reminiscences of Prince Talleyrand. Edited from the papers of the late M. Colmache, private secretary to the prince	1848	1848	London;H. Colburn;1848.	Colmache, Édouard | Reminiscences of Prince Talleyrand, Vol. 1 of 2	v. 1	55347	0.563341563	0.053070282		prince de Bénévent|1754-1838|Talleyrand-Périgord, Charles Maurice de		3	bio		m			wenyi	gutenbiotrimmed	Trimmed
