docid	author	authordate	title	latestcomp	hathidate	imprint	gutenstring	enumcron	gbindex	nonficprob	juvenileprob	LOCgenres	LOCsubjects	contents	instances	genre	audience	authgender	multiplehtids	comments	coder
inu.30000011498684	"Behn, Aphra"	1640-1689.	The works of Aphra Behn	1689	1915	London;W. Heinemann;Stratfor	"Behn, Aphra | The Works of Aphra Behn"	v.5	29854	0.493240049	0.137225007				1	fic		f			ted
hvd.32044021691274	"Pr??vost, abb??"	1697-1763.	Manon Lescaut	1731	1886	"Westport, Conn.|Hyperion Pre"	"Pr??vost, abb?? | Manon Lescaut"		468	0.272067396	0.005883356		"History|To 1803|Louis XIV, 1643-1715"	Hyperion reprint ed.	1	fic		m			wenyi
umn.31951d015921323	"Pu, Songling"	1640-1715.	Strange stories from a Chinese studio	1740	1908	London;T. Werner Laurie;1916	"Pu, Songling | Strange Stories from a Chinese Studio Vol. II (of 2)"		43628	0.517125231	0.370130585	Bibliographies		"3d. ed., rev."	1	fic | folklore | mystery | short		m			wenyi
nyp.33433074864178	"Hays, Mary"	1759 or 60-1843.	Memoirs of Emma Courtney	1802	1802	New York;Printed for Hugh M.	"Hays, Mary | Memoirs of Emma Courtney"		41256	0	0				1	fic		f			peizhen
wu.89006385306	"Opie, Amelia Alderson"	1769-1853.	Adeline Mowbray	1805	1810	"London;Longman, Hurst, Rees,"	"Opie, Amelia Alderson | Adeline Mowbray"		37908						1	fic		f			wenyi
hvd.hn2hfv	"Semple, Elizabeth"	fl. 1804-1816.	"A cup of sweets that can never cloy : or, Delightful tales for good children"	1814	1814	London;printed for J. Harris	"Semple, Elizabeth | A cup of sweets, that can never cloy"		42024	0.476439653	0.999739157	Juvenile audience		6th ed.	1	fic | short	juv	f			wenyi
njp.32101064786526	"Austen, Jane"	1775-1817.	Persuasion	1817	1901	London;J.M. Dent;1902.	"Austen, Jane | Persuasion"	v.10	36777	0.045839054	0.047020901	Autobiography|Bibliographies	"English literature|England|Social life and customs|Young women|Correspondence|1775-1817|Austen, Jane|19th century"	v. 1-2. Sense and sensibility -- v. 3-4. Pride and prejudice -- v. 5-6. Mansfield Park -- v.7-8. Emma -- v. 9. Northanger Abbey -- v. 10. Persuasion.	1	fic		f			ted
mdp.39015060783720	"More, Hannah"	1745-1833.	The shepherd of Salisbury Plain	1825	1825	Philadelphia;American Sunday	"More, Hannah | The Shepherd of Salisbury Plain and Other Tales"		31697	0.694165426	0.935928137	Juvenile audience	"1717-1796|Religious aspects|Contentment|Juvenile literature|Work ethic|Christianity|Christian life|Saunders, David"		1	fic | folklore | short	juv	f			wenyi
uc2.ark=+13960+t2f766t3r	"Berens, Edward"		Christmas stories	1827	1827	Oxford;W. Baxter;1827.	"Berens, Edward | Christmas Stories"		35397	0.401404071	0.070592663				1	fic | short		m			ted
uva.x000723476	"Hauff, Wilhelm"	1802-1827.	The wine-ghosts of Bremen;	1827	1889	New York;and London;White an	"Hauff, Wilhelm | The Wine-ghosts of Bremen"		32064	0.392825332	0.1683634				1	fic | mystery		m			peizhen
uc2.ark=+13960+t8z897s8x	"Moore, Thomas"	1779-1852.	The Epicurean	1831	1831	"London;Printed for Longman,"	"Moore, Thomas | The Epicurean"		49332	0.140024853	0.032747541				1	fic | historical		m			wenyi
uc2.ark=+13960+t9z031r2b	"MacDonald, George"	1824-1905.	The princess and Curdie	1832	1832	Philadelphia;J. B. Lippincot	"MacDonald, George | The Princess and Curdie"		36612	0.085251326	0.94219862				1	fic	juv	m			peizhen
osu.32435002999571	"Kennedy, John Pendleton"	1795-1870.	Horse-shoe Robinson	1835	1835	London;Bentley;1835.	"Kennedy, John Pendleton | Horse-Shoe Robinson"	vol.1	33478	0.161252539	0.020985954	Bibliographies	"Revolution, 1775-1783|History"		1	fic | historical		m			peizhen
hvd.32044011429495	"Goodwin, William"	1756-1836.	St. Leon	1831	1831	"London, H. Colburn and R. Bentley; [etc., etc.] 1831."	"Godwin, William | St. Leon"		53707	0.63940684	0.083254196	Bibliographies			1	fic | historical		m			peizhen
nyp.33433074954169	"Dickens, Charles"	1812-1870.	Oliver Twist	1839	1839	Philadelphia;Lea & Blanchard	"Dickens, Charles | Oliver Twist"		56586	0.079481536	0.276437559	Novel|Bibliographies	"Criminals|Dickens, Charles|London|Thieves|823D55OL1861|England|Social life and customs|Kidnapping victims|Poor|1812-1870|Orphans"		1	fic		m			morgan
hvd.hwikmg	"Ainsworth, William Harrison"	1805-1882.	The Tower of London	1840	1846	"New York : William H. Graham, Tribune Buildings, 1846."	"Ainsworth, William Harrison | The Tower of London"		49850	0.473821537	0.117274749	Bibliographies	"Lady|1537-1554|Grey, Jane"		1	fic | historical		m			ted
umn.31951d00199545f	"Taylor, Meadows"	1808-1876.	Tippoo Sultaun	1840	1880	London;R. Bentley;1840.	"Taylor, Meadows | Tippoo Sultaun"		51665						2	fic | historical		m			wenyi
uiuo.ark=+13960+t7xk8zr2d	"Sinclair, Catherine"	1800-1864.	Modern flirtations	1841	1841	Edinburgh;W. Whyte and Co.;1	"Sinclair, Catherine | Modern Flirtations"	v.2	43358	0.028076791	0.082017776		Scottish authors|English fiction		3	fic | romance		f			wenyi
hvd.hn5dpt	"Abbott, Jacob"	1803-1879.	Cousin Lucy's conversations	1841	1842	Boston;B. B. Mussey;1842.	"Abbott, Jacob | Cousin Lucy's Conversations"		50793	0.136942063	0.999978643				1	fic | short	juv	m			ted
uiuo.ark=+13960+t5cc1m30j	"Lever, Charles James"	1806-1872.	Arthur O'Leary	1844	1844	London;Henry Colburn;1844.	"Lever, Charles James | Arthur O'Leary"	v.1	32424	0.265312631	0.0195242				1	fic		m			peizhen
uc2.ark=+13960+t0ns0zr8x	"Lever, Charles James"	1806-1872.	The O'Donoghue;	1845	1845	"Dublin;W. Curry, Jun.;1845."	"Lever, Charles James | The O'Donoghue"		32340	0.12703957	0.006490176		Ireland		1	fic		m			peizhen
dul1.ark=+13960+t9572983r	"Ingoldsby, Thomas"	1788-1845.	The Ingoldsby legends	1845	1848	New York;Scribner and Welfor	"Ingoldsby, Thomas | The Ingoldsby Legends"		59236	0.503664054	0.030338168				1	fic | short		m			peizhen
mdp.39015063939329	"Lever, Charles James"	1806-1872.	St. Patrick's eve	1845	1845	London;Chapman and Hall;1845	"Lever, Charles James | St. Patrick's Eve"		32083	0.115581153	0.043867481				1	fic		m			peizhen
nyp.33433075777098	"Ingemann, Bernhard Severin"	1789-1862.	The childhood of King Erik Menved. An historical romance	1846	1846	Longon;Bruce and Wyld;1846.	"Ingemann, Bernhard Severin | The Childhood of King Erik Menved"		36626	0	0		"Erik Menved, 1286-1319|Erik Glipping, 1259-1286|History"		1	fic | historical		m			peizhen
mdp.39015063544772	"Cooper, James Fenimore"	1789-1851.	"The redskins; or, Indian and Injin: being the conclusion of the Littlepage manuscripts"	1849	1849	New York;Stringer & Townsend	"Cooper, James Fenimore | The Redskins; or, Indian and Injin, Volume 1"		31210	0.500344925	0.008755495		"Antirent War, N.Y., 1839-1846"		1	fic		m			ted
nyp.33433074870928	"Lever, Charles James"	1806-1872.	Roland Cashel	1850	1850	"New York;Harper & Bros., Pea"	"Lever, Charles James | Roland Cashel"		33469	0.08864464	0.012311694				1	fic		m			peizhen
mdp.39015066063184	"Shelley, Mary Wollstonecraft"	1797-1851.	Tales and stories	1851	1891	London;W. Paterson & Co.;189	"Shelley, Mary Wollstonecraft | Tales and Stories"		56665	0.073881678	0.046096947	Bibliographies	Science fiction		1	fic | short		f			wenyi
nyp.33433074895347	"Manning, Anne"	1807-1879.	The household of Sir Thomas More	1852	1852	New York;C. Scribner;1852.	"Manning, Anne | The Household of Sir Thomas More"		45187	0.097518303	0.188370622		"Sir, Saint|1478-1535|Roper, Margaret|Saint|1505-1544|More, Thomas"		1	fic		f			peizhen
njp.32101019691409	"Gaskell, Elizabeth Cleghorn"	1810-1865.	Cranford	1853	1853	New York;Harper & brothers;1	"Gaskell, Elizabeth Cleghorn | Cranford"		57539	0.445360893	0.201011459	English fiction|Novel|Pastoral fiction|Bibliographies|Domestic fiction	English fiction|Social life and customs|Older women|Female friendship|Sisters|Villages		1	fic		f			peizhen
uc2.ark=+13960+t78s4tc10	"Kavanagh, Julia"	1824-1877.	Rachel Gray	1856	1856	New York;Appleton;1856.	"Kavanagh, Julia | Rachel Gray"		36160	0	0				2	fic		f			peizhen
uc2.ark=+13960+t7pn8z40w	"Parkman, Francis"	1823-1893.	Vassall Morton	1856	1856	"Boston;Phillips, Sampson;185"	"Parkman, Francis | Vassall Morton"		39768	0.10748653	0.017781037				3	fic		m			wenyi
njp.32101068141769	"Lever, Charles James"	1806-1872.	Nuts and nutcrackers	1857	1857	London;Chapman and Hall;1857	"Lever, Charles James | Nuts and Nutcrackers"		35500	0.5466415	0.023753766			Third ed.	1	fic		m			peizhen
mdp.39015022467214	"Hughes, Thomas"	1822-1896.	"The scouring of the White Horse; or, The long vacation ramble of a London clerk"	1859	1859	"Cambridge [Eng., etc;Macmill"	"Hughes, Thomas | The Scouring of the White Horse"		53241	0.70079399	0.197734615		"White Horse, Berkshire, England"		1	fic		m			peizhen
wu.89098867799	"Leslie, Madeline"	1815-1893.	Little Frankie and his mother	1860	1860	"Boston;Woolworth, Ainsworth"	"Leslie, Madeline | Little Frankie and his Mother"		34830	0.087462927	0.999999944	Juvenile audience|Novel|Pictorial cloth bindings (Binding)|Family stories	Games|Parent and child|Pets|Brothers and sisters|Conduct of life|Early works to 1900|Juvenile fiction|Children	Little Frankie and his mother -- Little Frankie at his plays.	1	fic	juv	f			peizhen
nyp.33433074899000	"Manning, Anne"	1807-1879.	"The colloquies of Edward Osborne, citizen and clothworker, of London"	1860	1860	London;Imprynted for A. Hall	"Manning, Anne | The Colloquies of Edward Osborne"		51557	0.396244579	0.698179496		"1530?-1591|London (England)|History|16th century|Osborne, Edward"	3d ed.	1	fic		f			peizhen
uc1.$b251166	"Harris, Miriam Coles"	1834-1925.	Rutledge	1860	1860	New York;Derby & Jackson;186	"Harris, Miriam Coles | Rutledge"		40385	0	0		American fiction		1	fic		f			peizhen
mdp.39015065788757	"Stowe, Harriet Beecher"	1811-1896.	Agnes of Sorrento	1862	1862	Boston;1862.	"Stowe, Harriet Beecher | Agnes of Sorrento"		43076	0.130094272	0.02352172	New York|Massachusetts|New York (State)|Boston|Publishers' cloth bindings (Binding)			1	fic | historical | romance		f			wenyi
pst.000012922703	"Trollope, Anthony"	1815-1882.	Rachel Ray	1862	1862	"London, New York|Cumberlege|"	"Trollope, Anthony | Rachel Ray"		34000	0.034330452	0.023763649		Social life and customs|19th century		1	fic		m			peizhen
umn.31951d023616348	"Trollope, Anthony"	1815-1882.	"The struggles of Brown, Jones, and Robinson"	1862	1960	between 1960 and 1969?	"Trollope, Anthony | The Struggles of Brown, Jones, and Robinson"		27533	0.101033778	0.005264719	Novel	Great Britain|Advertising|Social life and customs|19th century		1	fic		m			peizhen
uc2.ark=+13960+t8pc33119	"Manning, Anne"	1807-1879.	The duchess of Trajetto	1863	1863	London;A. Hall & co.;1863.	"Manning, Anne | The Duchess of Trajetto"		42296	0.30645014	0.273085425				3	fic		f			peizhen
uc2.ark=+13960+t5gb26133	"Lever, Charles James"	1806-1872.	Barrington	1863	1863	"London, Eng.;Chapman and Hal"	"Lever, Charles James | Barrington"		34883	0.103272669	0.003267541				2	fic		m			peizhen
nc01.ark=+13960+t3vt22t6w	"Castlemon, Harry"	1842-1915.	Frank before Vicksburg	1864	1864	Philadelphia;Porter & Coates	"Castlemon, Harry | Frank Before Vicksburg"		42099	0.085391445	0.032707708		"Siege, 1863|History|Vicksburg (Miss.)"		1	fic	juv	m			ted
nyp.33433074970496	"Charles, Elizabeth Rundle"	1828-1896.	Chronicles of the Schönberg-Cotta family	1864	1864	New York;T. Nelson and sons;	"Charles, Elizabeth Rundle | Chronicles of the Schonberg-Cotta Family"		36433	0.395746349	0.10454614		"Reformation|Germany|Luther, Martin|1483-1546"		1	fic | historical		f			ted
nyp.33433082267182	"Pardon, George Frederick"	1824-1884.	Tales from the operas	1864	1864	New York;Carleton;London;J.	"Pardon, George Frederick | Tales from the Operas"		57605	0.087403284	0.087970535		"Operas|Stories, plots, etc"	Lucrezia Borgia (Donizetti)--Don Giovanni (Mozart)--La traviata (Verdi)--Don Pasquale (Donizetti)--La somnambula (Bellini)--L'elisir d'amore (Donizetti)--Il barbiere di Siviglia (Rossini)--Rigoletto (Verdi)--I puritani (Bellini)--La figlia del reggimento (Donizetti)--Norma (Bellini)--Roberto il diavolo (Meyerbeer)--Il trovatore (Verdi)--Ernani (Verdi)--Martha (Flotow)	3	fic | short		m			wenyi
njp.32101068971918	"Kingsley, Henry"	1830-1876.	Ravenshoe	1864	1864	London;Macmillan and Co.;186	"Kingsley, Henry | Ravenshoe"		41636	0.204434994	0.018744555	Bibliographies			1	fic		m			peizhen
uc2.ark=+13960+t7pn8z31x	"Hawthorne, Nathaniel"	1804-1864.	Little masterpieces	1864	1897	New York;Doubleday & McClure	"Hawthorne, Nathaniel | Little Masterpieces"		39716	0.318636863	0.011008272				1	fic | short		m			peizhen
nyp.33433074877626	"Lever, Charles James"	1806-1872.	Tony Butler	1865	1865	"New York : Harper, 1865."	"Lever, Charles James | Tony Butler"		33604	0.081786049	0.009394051				1	fic		m			peizhen
uc2.ark=+13960+t3zs2qq41	"Lever, Charles James"	1806-1872.	Luttrell of Arran	1865	1865	London;Chapman and Hall;1865	"Lever, Charles James | Luttrell Of Arran"		35717	0.05014466	0.006482521				2	fic		m			peizhen
nc01.ark=+13960+t1cj8ws1k	"Optic, Oliver"	1822-1897.	Brave Old Salt;	1866	1866	Boston;Lee and Shepard;New Y	"Optic, Oliver | Brave Old Salt"		37907	0.092795791	0.715589825				1	fic		m			wenyi
uc2.ark=+13960+t70v8gg9s	"Reid, Mayne"	1818-1883.	Afloat in the forest	1867	1867	"London|G. Routledge & Sons,"	"Reid, Mayne | Afloat in the Forest"		35213						4	fic		m			wenyi
pst.000027691311	"Bulfinch, Thomas"	1796-1867.	Bulfinch's mythology	1867	1964	"Feltham, Middlesex|Hamlyn Pu"	"Bulfinch, Thomas | Bulfinch's Mythology"		56644	0.433470957	0.206088481		"Mythology|742-814|Romances|Chivalry|Charlemagne|Folklore|Legends|Romances, English|Emperor|Europe"	The age of fable.--The age of chivalry.--The legends of Charlemagne.	1	fic | folklore | short		m			ted
chi.087927110	"Lever, Charles James"	1806-1872.	The Bramleighs of Bishop's Folly	1868	1868	"London, Ward. [1876.]"	"Lever, Charles James | The Bramleighs Of Bishop's Folly"		32561	0.060270894	0.017478344				2	fic		m			peizhen
nyp.33433115574869	"Hamerton, Philip Gilbert"	1834-1894.	Wenderholme	1869	1877	Edinburgh ; W. Blackwood and Sons	"Hamerton, Philip Gilbert | Wenderholme"	v.2	40874	0.060632697	0.113541353				1	fic		m			peizhen
mdp.39015065610225	"Kellogg, Elijah"	1813-1901.	Lion Ben of Elm Island	1869	1869	Boston;Lee and Shepard;1869.	"Kellogg, Elijah | Lion Ben of Elm Island"		50993	0.388208661	0.792102472	Juvenile audience	"Authors, American|Maine"		1	fic	juv	m			peizhen
uc2.ark=+13960+t3qv3cr47	"Castlemon, Harry"	1842-1915.	Frank on the prairie	1869	1869	Cincinnati;R. W. Carroll & C	"Castlemon, Harry | Frank on the Prairie"		42101	0.089850109	0.711301438				2	fic	juv	m			ted
uc2.ark=+13960+t4qj7df3t	"Reid, Mayne"	1818-1883.	The Vee-Boers	1870	1885	London;New York;G. Routledge	"Reid, Mayne | The Vee-Boers"		34667	0.416429719	0.273740249				1	fic		m			wenyi
coo.31924013531060	"Oliphant, Mrs. (Margaret)"	1828-1897.	Miss Marjoribanks	1870	1870	Leipzig;B. Tauchnitz;1870.	"Oliphant, Mrs Margaret | Miss Marjoribanks"	v.1	41286	0.063019319	0.008501703	Love stories|Bildungsromane	Young women|England	Copyright ed.	1	fic | romance		f			wenyi
njp.32101072858358	"Dickens, Charles"	1812-1870.	Mugby Junction	1870	1898	London;Chapman and Hall;1898	"Dickens, Charles | Mugby Junction"		27924	0.468258198	0.173336996	Bibliographies	Railroad stations|London|England	Barbox Brothers ; Barbox Brothers & Co. ; Main line ; No. 1 Branch line / by C. Dickens -- No. 2 Branch line / by A. Halliday -- No. 3 Branch line / by C. Collins -- No. 4 Branch line / by H. Stretton -- No. 5 Branch line / by A.B. Edwards.	1	fic | short		m			morgan
uc2.ark=+13960+t7zk57x7j	"Dickens, Charles"	1812-1870.	A Christmas carol	1870	1877	Boston;Lee and Shepard;1877.	"Dickens, Charles | A Christmas Carol"		30368	0.357479498	0.992928077				1	fic		m			morgan
hvd.hwjzfd	"Dumas, Alexandre"	1802-1870.	Marguerite de Valois	1870	1846	"Boston;Little, Brown and com"	"Dumas, Alexandre | Marguerite de Valois"	v.2	33609	0.080471101	0.205052757	Bibliographies	"King of France|Henry|French literature|1553-1615|Saint Bartholomew's Day, Massacre of, France, 1572|Saint Bartholomew's day, Massacre of, France, 1572|History|IV|Marguerite|Queen, consort of Henry IV, King of France|1553-1610|Henry IV, 1589-1610"		1	fic | historical		m			morgan
uva.x030826016	"Stretton, Hesba"	1832-1911.	Little Meg's children	1870	1870	Philadelphia;James S. Claxto	"Stretton, Hesba | Little Meg's Children"		30555	0.022774833	0.894222953	Juvenile audience			1	fic	juv	f			wenyi
uc1.$b288541	"Keeler, Ralph"	1840-1873.	Vagabond adventures	1870	1870	"Boston;Fields, Osgood & co.;"	"Keeler, Ralph | Vagabond Adventures"		58982	0.65191472	0.245271108		Minstrel shows		1	fic		m			peizhen
uc1.32106006952862	"Dumas, Alexandre"	1802-1870.	The Prussian terror	1870	1916	London;S. Paul & co.;1916	"Dumas, Alexandre | The Prussian Terror"		36016	0.191881515	0.012936072		"Austro-Prussian War, 1866"	2d ed.	1	fic | historical		m			morgan
uc1.$b441023	"Trollope, Anthony"	1815-1882.	Sir Harry Hotspur of Humblethwaite	1871	1871	Leipzig;B. Tauchnitz;1871.	"Trollope, Anthony | Sir Harry Hotspur of Humblethwaite"		27712	0.04051498	0.000478342	Bibliographies	Fathers and daughters|Inheritance and succession	Copyright ed.	2	fic | romance		m			peizhen
mdp.39076006296573	"Scheffel, Joseph Viktor von"	1826-1886.	Ekkehard	1872	1890	New York;P. F. Collier;n.d.	"Scheffel, Joseph Viktor von | Ekkehard"	v.2	35847	0.185427249	0.058450202		Hardwig|duchess of Swabia|d. 904		1	fic | historical		m			wenyi
mdp.39076006296565	"Scheffel, Joseph Viktor von"	1826-1886.	Ekkehard	1872	1890	New York;P. F. Collier;n.d.	"Scheffel, Joseph Viktor von | Ekkehard"	v.1	35846	0.265354801	0.059916928		Hardwig|duchess of Swabia|d. 904		1	fic | historical		m			wenyi
wu.89008505000	"Gautier, Théophile"	1811-1872.	The Romance of a Mummy and Egypt	1872	1903	New York;The Jenson society.	"Gautier, Theophile | The Works of Theophile Gautier, Volume 5"		27724	0.21984002	0.036874839				1	fic | historical		m	y		peizhen
inu.30000118962061	"Lever, Charles James"	1806-1872.	Sir Jasper Carew	1872	1897	London;Downey and Co.;1897-1	"Lever, Charles James | Sir Jasper Carew"	v.11	33081	0.088316317	0.002638314			"Copyright ed.|v. 1. The confessions of Harry Lorrequer.--v. 2-3. Charles O'Malley.--v. 4. Jack Hinton.--v. 5-6. Tom Burke of ""Ours"".--v. 7. Arthur O'Leary.--v. 8. The O'Donoghur.--v. 9-10. The knight of Gwynne.--v. 11. Sir Jasper Carew.--v. 12. The diary and notes of Horace Templeton.--v. 13. The confessions of Con Cregan.--v. 14-15. Roland Cashel.--v. 16-17. The Daltons.--v. 18-19. The Dodd family abroad.--v. 20. Maurice Thernay.--v. 21-22. The Martins of Cro'Martin.--v. 23. The fortunes of Gl"	1	fic		m			peizhen
njp.32101068141702	"Lever, Charles James"	1806-1872.	Jack Hinton	1872	1872	London;Chapman & Hall;1872.	"Lever, Charles James | Jack Hinton"		33082	0.117923023	0.011095875			New ed.	1	fic		m			peizhen
nyp.33433075738058	"Bolanden, Conrad von"	1828-1911.	"The progressionists, and Angela"	1873	1873	New York;The Catholic Public	"Bolanden, Conrad von | The Progressionists, and Angela."		33573	0.178757286	0.009993914				1	fic		m			ted
wu.89038301495	"Trollope, Anthony"	1815-1882.	Lady Anna	1873	1876	Leipzig;B. Tauchnitz;1873.	"Trollope, Anthony | Lady Anna"	v.2	31274	0	0	Domestic fiction|Bibliographies	Mothers and daughters|Inheritance and succession	Copyright editon.	1	fic | romance		m	y	found 1876 Hathi single version	peizhen
nyp.33433074940309	"Black, William"	1841-1898.	A princess of Thule	1873	1873	New York;Harper;1873.	"Black, William | A Princess of Thule"		49786	0.033153767	0.112603195		Scottish authors|English fiction		1	fic		m			ted
uc2.ark=+13960+t16m33f86	"Jay, W. M. L"		Holden with the cords	1874	1874	New York;E.P. Dutton;1874.	"Jay, W. M. L. | Holden with the Cords"		56980	0	0				1	fic		f			peizhen
uc2.ark=+13960+t6j09zq38	"Auerbach, Berthold"	1812-1882.	Waldfried	1874	1874	New York;John W. Lovell Comp	"Auerbach, Berthold | Waldfried"		32446	0.386043715	0.047500458				2	fic		m			ted
nnc1.0112365246	"Holley, Marietta"	1836-1926.	My opinions and Betsey Bobbet's	1875	1875	"Hartford, Conn.;American Pub"	"Holley, Marietta | My Opinions and Betsey Bobbet's"		55594	0.370061663	0.091586174				1	fic		f			peizhen
uc2.ark=+13960+t14m92d7h	"Morgan, Louisa"		Baron Bruno;	1875	1875	London;Macmillan and co.;187	"Morgan, Louisa | Baron Bruno"		39274	0.162185954	0.099292433				1	fic		f			wenyi
uc2.ark=+13960+t6qz22x3r	"Harland, Marion"	1830-1922.	Jessamine	1876	1876	New York;G.W. Carleton;1876	"Harland, Marion | Jessamine"		36414	0	0				1	fic		f			peizhen
njp.32101066457050	"Cobbold, Richard"	1797-1877.	The history of Margaret Catchpole	1877	1923	"London, New York [etc.|H. Mi"	"Cobbold, Richard | The History of Margaret Catchpole"		39326	0.289426268	0.075316294		"1773-1841|Catchpole, Margaret"		1	fic | historical		m			ted
uva.x030749243	"Habberton, John"	1842-1921.	The Barton experiment	1877	1877	New York;G. P. Putnam's Sons	"Habberton, John | The Barton Experiment"		53031	0.281354941	0.008578322				2	fic		m			peizhen
nc01.ark=+13960+t23b6gc16	"Douglas, Amanda Minnie"	1831-1916.	Kathie's soldiers	1877	1877	Boston;Lee and Shepard;1877;	"Douglas, Amanda Minnie | Kathie's Soldiers"		40525	0.115029483	0.688278047				1	fic	juv	f			morgan
uc2.ark=+13960+t0vq2sk6k	"Auerbach, Berthold"	1812-1882.	Landolin	1878	1878	New York;H. Holt and company	"Auerbach, Berthold | Landolin"		33008	0	0				2	fic		m			ted
uc2.ark=+13960+t8df6n879	"Abbott, Edwin Abbott"	1838-1926.	Philochristus	1878	1878	London;Macmillan;1878.	"Abbott, Edwin Abbott | Philochristus"		48843	0.623468677	0.157444801		Jesus Christ		1	fic | historical		m		some utf-8 errors in Gutenberg text	ted
uc2.ark=+13960+t7hq3td9d	"Bowker, James"		Goblin tales of Lancashire	1878	1878	London;W. Swan Sonnenschein	"Bowker, James | Goblin Tales of Lancashire"		39712	0.207442376	0.021808135				1	fic | folklore | short		m			ted
nyp.33433074902234	"Molesworth, Mrs"	1842-1921.	Hathercourt	1878	1878	New York;H. Holt & Co.;1878.	"Molesworth, Mrs. | Hathercourt"		43168	0.016398216	0.081030673		English fiction		1	fic	juv	f			wenyi
uc2.ark=+13960+t5gb22d5b	"Coolidge, Susan"	1835-1905.	Eyebright	1879	1894	Boston;Roberts Brothers;1894	"Coolidge, Susan | Eyebright"		27223	0.040836218	0.930321854				2	fic	juv	f			ted
nyp.33433081937314	"Burnett, Frances (Hodgson)"	1849-1924.	Haworth's	1879	1879	New York;C. Scribner's sons;	"Burnett, Frances Hodgson | Haworth's"		58183	0.07647114	0.000932238				3	fic		f			ted
nyp.33433074867486	"Jefferies, Richard"	1848-1887.	Greene Ferne farm	1880	1880	"London;Smith, Elder, & co.;1"	"Jefferies, Richard | Greene Ferne Farm"		37046	0.207371623	0.197328813				2	fic		m			peizhen
