docid	author	authordate	title	latestcomp	hathidate	imprint	gutenstring	enumcron	gbindex	nonficprob	juvenileprob	LOCgenres	LOCsubjects	contents	instances	genre	audience	authgender	multiplehtids	comments	coder
loc.ark=+13960+t5p851b8s	"Reid, Stuart J."		Lord John Russell	1895		New York;Harper & brothers;1	"Reid, Stuart J. | Lord John Russell"	<blank>	27553							bio		u			morgan
hvd.32044070870779	"Smiles, Samuel,"		Lives of the engineers	1879		London;J. Murray;1874-1877.	"Smiles, Samuel | Lives of the Engineers"	v. 5	27710							bio | short		m		"2 people, mixed together (not one per chapter)"	morgan
mdp.39015005892362	"Cruttwell, Maud."		Luca Signorelli	1899		London;G. Bell & sons;1899.	"Cruttwell, Maud | Luca Signorelli"	<blank>	27759							bio		f			morgan
mdp.39015051108531	"Bettany, George Thomas,"		Life of Charles Darwin	1887		London;W. Scott;1887.	"Bettany, George Thomas | Life of Charles Darwin"	<blank>	28380							bio		m			morgan
loc.ark=+13960+t6b27z54n	"Gay, Sydney Howard,"		James Madison	1889		"Boston;New York;Houghton, Mi"	"Gay, Sydney Howard | James Madison"	<blank>	28992							bio		u			morgan
uc2.ark=+13960+t27944x8r	"Marrs, William Taylor"		Confessions of a neurasthenic	1908	1908	Philadelphia;F. A. Davis com	"Marrs, William Taylor | Confessions of a Neurasthenic"		30487	0.491048021	0.027846146		Neurasthenia		1	bio		m			peizhen
uc2.ark=+13960+t2n58d64k	"Mayer, Brantz,"		"Memoir of Jared Sparks, LL.D"	1867		Baltimore;Printed for the au	"Mayer, Brantz | Memoir of Jared Sparks, LL.D."	<blank>	32089							bio		u			morgan
uc2.ark=+13960+t2h70bj92	"Blunden, Edmund"		The Bonadventure;	1922	1922	London;R. Cobden-Sanderson;1	"Blunden, Edmund | The Bonadventure"		32371	0.467693563	0.163300859		Ocean travel|Voyages and travels		1	bio		m			ted
loc.ark=+13960+t6f19hm10	"Howe, Julia Ward,"		Margaret Fuller (Marchesa Ossoli)	1883		Boston;Roberts brothers;1883	"Howe, Julia Ward | Margaret Fuller (Marchesa Ossoli)"	<blank>	32511							bio		f			morgan
uc1.$b275121	"Smeaton, William Henry Oliphant"	1856-1914.	Allan Ramsay	1896	1896	New York;Scribner;1896	"Smeaton, William Henry Oliphant | Allan Ramsay"		32642	0.917182875	0.024215292		"Ramsay, Allan|1685?-1758|18th century|Ramsey, Allan|1686-1758|Poets, Scottish|Biography"		2	bio		m			wenyi
uc1.b3247650	"Farrar, Geraldine."		Geraldine Farrar	1916		"Boston-New York;Houghton, Mi"	"Farrar, Geraldine | Geraldine Farrar"	<blank>	32835							bio		f			morgan
mdp.39015062775039	"Moscheles, Felix,"		Fragments of an autobiography	1899		New York;London;Harper & Bro	"Moscheles, Felix | Fragments of an Autobiography"	<blank>	33185							bio		m		episodic	morgan
loc.ark=+13960+t5x64c55b	"Kennard, Nina H.,"		Lafcadio Hearn	1912		New York;D. Appleton and com	"Kennard, Nina H. | Lafcadio Hearn"	<blank>	33345							bio		f			morgan
mdp.39015011684407	"Higginson, Thomas Wentworth,"		Henry Wadsworth Longfellow	1902		"Boston;New York;Houghton, Mi"	"Higginson, Thomas Wentworth | Henry Wadsworth Longfellow"	<blank>	33402							bio		m			morgan
njp.32101066163518	"Morris, Clara,"		Life on the stage	1901		"New York;McClure, Phillips;1"	"Morris, Clara | Life on the Stage"	<blank>	33537							bio		f			morgan
wu.89100034107	"Levinger, Lee J."		A Jewish chaplain in France	1921		New York;The Macmillan compa	"Levinger, Lee J. | A Jewish Chaplain in France"	<blank>	34440							bio		m			morgan
loc.ark=+13960+t0sq92228	"Abbott, Henry"	-1850	Lost Pond	1915	1915	New York;1915.	"Abbott, Henry | Lost Pond"		34669	0.81619061	0.028866587		Description and travel|Adirondack Mountains (N.Y.)		1	bio		m		very short	ted
uc2.ark=+13960+t43r0rx70	"Allen, Grant,"		Charles Darwin	1885		New York;D. Appleton and Com	"Allen, Grant | Charles Darwin"	<blank>	34730							bio		m			morgan
loc.ark=+13960+t58d02971	"Thoreau, Henry David"	1817-1862.	Canoeing in the wilderness	1862	1916	Boston;New York;Houghton and	"Thoreau, Henry David | Canoeing in the wilderness"		34990	0.976832852	0.66175647		Canoes and canoeing|Description and travel|Piscataquis County (Me.)|Maine		2	bio		m			wenyi
loc.ark=+13960+t2c82sr33	"Gallishaw, John"	-1890	Trenching at Gallipoli;	1916	1916	New York;Century;1916.	"Gallishaw, John | Trenching at Gallipoli"		35119	0.528853153	0.00255279		"Gallipoli Peninsula|Turkey|Campaigns|World War, 1914-1918|Personal narratives"		4	bio		m			peizhen
uc1.b4578709	"Moses, Belle."		Lewis Carroll in wonderland and at home	1910		New York;D. Appleton;1910.	"Moses, Belle | Lewis Carroll in Wonderland and at Home"	<blank>	35418							bio		f			morgan
